INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Test set: LR: 0.00567858,  Average loss: 0.0468, Accuracy: 0.8071
INFO:root:Test set: LR: 0.00562667,  Average loss: 0.0435, Accuracy: 0.8183
INFO:root:Test set: LR: 0.00557469,  Average loss: 0.0425, Accuracy: 0.8291
INFO:root:Test set: LR: 0.00552264,  Average loss: 0.0436, Accuracy: 0.8191
INFO:root:Test set: LR: 0.00547054,  Average loss: 0.0406, Accuracy: 0.8330
INFO:root:Test set: LR: 0.00547054,  Average loss: 0.0415, Accuracy: 0.8293
INFO:root:Test set: LR: 0.00541839,  Average loss: 0.0425, Accuracy: 0.8230
INFO:root:Test set: LR: 0.00536619,  Average loss: 0.0426, Accuracy: 0.8224
INFO:root:Test set: LR: 0.00531395,  Average loss: 0.0462, Accuracy: 0.8207
INFO:root:Test set: LR: 0.00526168,  Average loss: 0.0436, Accuracy: 0.8237
INFO:root:Test set: LR: 0.00520938,  Average loss: 0.0421, Accuracy: 0.8325
INFO:root:Test set: LR: 0.00515705,  Average loss: 0.0462, Accuracy: 0.8168
INFO:root:Test set: LR: 0.00510471,  Average loss: 0.0427, Accuracy: 0.8250
INFO:root:Test set: LR: 0.00505236,  Average loss: 0.0412, Accuracy: 0.8301
INFO:root:Test set: LR: 0.00500000,  Average loss: 0.0424, Accuracy: 0.8268
INFO:root:Test set: LR: 0.00494764,  Average loss: 0.0412, Accuracy: 0.8296
INFO:root:Test set: LR: 0.00489529,  Average loss: 0.0437, Accuracy: 0.8245
INFO:root:Test set: LR: 0.00484295,  Average loss: 0.0416, Accuracy: 0.8360
INFO:root:Test set: LR: 0.00484295,  Average loss: 0.0445, Accuracy: 0.8242
INFO:root:Test set: LR: 0.00479062,  Average loss: 0.0440, Accuracy: 0.8239
INFO:root:Test set: LR: 0.00473832,  Average loss: 0.0395, Accuracy: 0.8419
INFO:root:Test set: LR: 0.00473832,  Average loss: 0.0432, Accuracy: 0.8214
INFO:root:Test set: LR: 0.00468605,  Average loss: 0.0439, Accuracy: 0.8265
INFO:root:Test set: LR: 0.00463381,  Average loss: 0.0412, Accuracy: 0.8296
INFO:root:Test set: LR: 0.00458161,  Average loss: 0.0436, Accuracy: 0.8194
INFO:root:Test set: LR: 0.00452946,  Average loss: 0.0400, Accuracy: 0.8409
INFO:root:Test set: LR: 0.00447736,  Average loss: 0.0419, Accuracy: 0.8283
INFO:root:Test set: LR: 0.00442531,  Average loss: 0.0423, Accuracy: 0.8255
INFO:root:Test set: LR: 0.00437333,  Average loss: 0.0449, Accuracy: 0.8219
INFO:root:Test set: LR: 0.00432142,  Average loss: 0.0417, Accuracy: 0.8283
INFO:root:Test set: LR: 0.00426958,  Average loss: 0.0402, Accuracy: 0.8404
INFO:root:Test set: LR: 0.00421783,  Average loss: 0.0435, Accuracy: 0.8240
INFO:root:Test set: LR: 0.00416616,  Average loss: 0.0437, Accuracy: 0.8335
INFO:root:Test set: LR: 0.00411458,  Average loss: 0.0416, Accuracy: 0.8340
INFO:root:Test set: LR: 0.00406309,  Average loss: 0.0409, Accuracy: 0.8375
INFO:root:Test set: LR: 0.00401171,  Average loss: 0.0387, Accuracy: 0.8429
INFO:root:Test set: LR: 0.00401171,  Average loss: 0.0424, Accuracy: 0.8339
INFO:root:Test set: LR: 0.00396044,  Average loss: 0.0390, Accuracy: 0.8419
INFO:root:Test set: LR: 0.00390928,  Average loss: 0.0417, Accuracy: 0.8376
INFO:root:Test set: LR: 0.00385825,  Average loss: 0.0389, Accuracy: 0.8447
INFO:root:Test set: LR: 0.00385825,  Average loss: 0.0438, Accuracy: 0.8370
INFO:root:Test set: LR: 0.00380733,  Average loss: 0.0397, Accuracy: 0.8448
INFO:root:Test set: LR: 0.00380733,  Average loss: 0.0457, Accuracy: 0.8217
INFO:root:Test set: LR: 0.00375655,  Average loss: 0.0416, Accuracy: 0.8414
INFO:root:Test set: LR: 0.00370590,  Average loss: 0.0405, Accuracy: 0.8393
INFO:root:Test set: LR: 0.00365540,  Average loss: 0.0382, Accuracy: 0.8440
INFO:root:Test set: LR: 0.00360504,  Average loss: 0.0504, Accuracy: 0.7990
INFO:root:Test set: LR: 0.00355484,  Average loss: 0.0386, Accuracy: 0.8493
INFO:root:Test set: LR: 0.00355484,  Average loss: 0.0443, Accuracy: 0.8232
INFO:root:Test set: LR: 0.00350480,  Average loss: 0.0410, Accuracy: 0.8386
INFO:root:Test set: LR: 0.00345492,  Average loss: 0.0432, Accuracy: 0.8339
INFO:root:Test set: LR: 0.00340520,  Average loss: 0.0390, Accuracy: 0.8486
INFO:root:Test set: LR: 0.00335567,  Average loss: 0.0406, Accuracy: 0.8443
