INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'mobilenet_v3_small', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/mobilenet_v3_small', 'checkpoint_path': './checkpoints/domainnet/real/mobilenet_v3_small', 'checkpoint_save_step': 5, 'log_path': './log/mobilenet_v3_small/domainnet/real/log1.log', 'end_epoch': 300}
INFO:root:Test set: LR: 0.00390928,  Average loss: 0.0680, Accuracy: 0.7026
INFO:root:Test set: LR: 0.00385825,  Average loss: 0.0679, Accuracy: 0.7077
INFO:root:Test set: LR: 0.00385825,  Average loss: 0.0689, Accuracy: 0.6911
INFO:root:Test set: LR: 0.00380733,  Average loss: 0.0672, Accuracy: 0.7008
INFO:root:Test set: LR: 0.00375655,  Average loss: 0.0662, Accuracy: 0.7080
INFO:root:Test set: LR: 0.00375655,  Average loss: 0.0686, Accuracy: 0.6941
INFO:root:Test set: LR: 0.00370590,  Average loss: 0.0687, Accuracy: 0.7005
INFO:root:Test set: LR: 0.00365540,  Average loss: 0.0678, Accuracy: 0.7003
INFO:root:Test set: LR: 0.00360504,  Average loss: 0.0708, Accuracy: 0.6965
INFO:root:Test set: LR: 0.00355484,  Average loss: 0.0669, Accuracy: 0.7105
INFO:root:Test set: LR: 0.00355484,  Average loss: 0.0707, Accuracy: 0.6870
INFO:root:Test set: LR: 0.00350480,  Average loss: 0.0646, Accuracy: 0.7133
INFO:root:Test set: LR: 0.00350480,  Average loss: 0.0666, Accuracy: 0.7119
INFO:root:Test set: LR: 0.00345492,  Average loss: 0.0666, Accuracy: 0.7092
INFO:root:Test set: LR: 0.00340520,  Average loss: 0.0693, Accuracy: 0.6990
INFO:root:Test set: LR: 0.00335567,  Average loss: 0.0653, Accuracy: 0.7098
INFO:root:Test set: LR: 0.00330631,  Average loss: 0.0660, Accuracy: 0.7059
INFO:root:Test set: LR: 0.00325714,  Average loss: 0.0644, Accuracy: 0.7111
INFO:root:Test set: LR: 0.00320816,  Average loss: 0.0671, Accuracy: 0.7033
INFO:root:Test set: LR: 0.00315938,  Average loss: 0.0651, Accuracy: 0.7088
INFO:root:Test set: LR: 0.00311080,  Average loss: 0.0657, Accuracy: 0.7129
INFO:root:Test set: LR: 0.00306242,  Average loss: 0.0677, Accuracy: 0.7029
INFO:root:Test set: LR: 0.00301426,  Average loss: 0.0629, Accuracy: 0.7239
INFO:root:Test set: LR: 0.00301426,  Average loss: 0.0659, Accuracy: 0.7134
INFO:root:Test set: LR: 0.00296632,  Average loss: 0.0651, Accuracy: 0.7134
INFO:root:Test set: LR: 0.00291860,  Average loss: 0.0646, Accuracy: 0.7147
INFO:root:Test set: LR: 0.00287110,  Average loss: 0.0662, Accuracy: 0.7103
INFO:root:Test set: LR: 0.00282384,  Average loss: 0.0640, Accuracy: 0.7129
INFO:root:Test set: LR: 0.00277682,  Average loss: 0.0638, Accuracy: 0.7178
INFO:root:Test set: LR: 0.00273005,  Average loss: 0.0654, Accuracy: 0.7133
INFO:root:Test set: LR: 0.00268352,  Average loss: 0.0645, Accuracy: 0.7172
INFO:root:Test set: LR: 0.00263725,  Average loss: 0.0636, Accuracy: 0.7247
INFO:root:Test set: LR: 0.00263725,  Average loss: 0.0649, Accuracy: 0.7178
INFO:root:Test set: LR: 0.00259123,  Average loss: 0.0627, Accuracy: 0.7237
INFO:root:Test set: LR: 0.00254548,  Average loss: 0.0622, Accuracy: 0.7233
INFO:root:Test set: LR: 0.00250000,  Average loss: 0.0627, Accuracy: 0.7216
INFO:root:Test set: LR: 0.00245479,  Average loss: 0.0638, Accuracy: 0.7178
INFO:root:Test set: LR: 0.00240986,  Average loss: 0.0629, Accuracy: 0.7188
INFO:root:Test set: LR: 0.00236522,  Average loss: 0.0627, Accuracy: 0.7247
INFO:root:Test set: LR: 0.00232087,  Average loss: 0.0626, Accuracy: 0.7260
INFO:root:Test set: LR: 0.00232087,  Average loss: 0.0616, Accuracy: 0.7287
INFO:root:Test set: LR: 0.00232087,  Average loss: 0.0626, Accuracy: 0.7264
INFO:root:Test set: LR: 0.00227680,  Average loss: 0.0626, Accuracy: 0.7195
INFO:root:Test set: LR: 0.00223304,  Average loss: 0.0621, Accuracy: 0.7239
INFO:root:Test set: LR: 0.00218958,  Average loss: 0.0642, Accuracy: 0.7183
INFO:root:Test set: LR: 0.00214643,  Average loss: 0.0633, Accuracy: 0.7162
INFO:root:Test set: LR: 0.00210359,  Average loss: 0.0617, Accuracy: 0.7260
INFO:root:Test set: LR: 0.00206107,  Average loss: 0.0634, Accuracy: 0.7229
INFO:root:Test set: LR: 0.00201888,  Average loss: 0.0603, Accuracy: 0.7337
INFO:root:Test set: LR: 0.00201888,  Average loss: 0.0630, Accuracy: 0.7224
INFO:root:Test set: LR: 0.00197700,  Average loss: 0.0591, Accuracy: 0.7373
INFO:root:Test set: LR: 0.00197700,  Average loss: 0.0623, Accuracy: 0.7272
INFO:root:Test set: LR: 0.00193546,  Average loss: 0.0596, Accuracy: 0.7390
INFO:root:Test set: LR: 0.00193546,  Average loss: 0.0622, Accuracy: 0.7269
INFO:root:Test set: LR: 0.00189426,  Average loss: 0.0618, Accuracy: 0.7275
INFO:root:Test set: LR: 0.00185340,  Average loss: 0.0602, Accuracy: 0.7301
INFO:root:Test set: LR: 0.00181288,  Average loss: 0.0596, Accuracy: 0.7377
INFO:root:Test set: LR: 0.00177271,  Average loss: 0.0622, Accuracy: 0.7291
INFO:root:Test set: LR: 0.00173290,  Average loss: 0.0592, Accuracy: 0.7380
INFO:root:Test set: LR: 0.00169344,  Average loss: 0.0580, Accuracy: 0.7416
INFO:root:Test set: LR: 0.00169344,  Average loss: 0.0587, Accuracy: 0.7434
INFO:root:Test set: LR: 0.00169344,  Average loss: 0.0600, Accuracy: 0.7393
INFO:root:Test set: LR: 0.00165435,  Average loss: 0.0604, Accuracy: 0.7314
INFO:root:Test set: LR: 0.00161562,  Average loss: 0.0596, Accuracy: 0.7395
INFO:root:Test set: LR: 0.00157726,  Average loss: 0.0585, Accuracy: 0.7408
INFO:root:Test set: LR: 0.00153928,  Average loss: 0.0590, Accuracy: 0.7423
INFO:root:Test set: LR: 0.00150168,  Average loss: 0.0595, Accuracy: 0.7344
INFO:root:Test set: LR: 0.00146447,  Average loss: 0.0584, Accuracy: 0.7437
